Date,Year,Month,Month_Num,mw_PCE,Unemployment,mw_RealDispIncome,mw_wholesale_PPI,mw_supermarket_PPI,mw_produce_CPI,mw_meat_CPI,mw_diary_CPI
1998-01-01,1998,Jan,1,111170.692,,,,,,,
1998-02-01,1998,Feb,2,111170.692,,,,,,,
1998-03-01,1998,Mar,3,111170.692,,,,,,,
1998-04-01,1998,Apr,4,111170.692,,,,,,,
1998-05-01,1998,May,5,111170.692,,,,,,,
1998-06-01,1998,Jun,6,111170.692,,,,,,,
1998-07-01,1998,Jul,7,111170.692,,,,,,,
1998-08-01,1998,Aug,8,111170.692,,,,,,,
1998-09-01,1998,Sep,9,111170.692,,,,,,,
1998-10-01,1998,Oct,10,111170.692,,,,,,,
1998-11-01,1998,Nov,11,111170.692,,,,,,,
1998-12-01,1998,Dec,12,111170.692,,,,,,,
1999-01-01,1999,Jan,1,118160.617,,,,,,,
1999-02-01,1999,Feb,2,118160.617,,,,,,,
1999-03-01,1999,Mar,3,118160.617,,,,,,,
1999-04-01,1999,Apr,4,118160.617,,,,,,,
1999-05-01,1999,May,5,118160.617,,,,,,,
1999-06-01,1999,Jun,6,118160.617,,,,,,,
1999-07-01,1999,Jul,7,118160.617,,,,,,,
1999-08-01,1999,Aug,8,118160.617,,,,,,,
1999-09-01,1999,Sep,9,118160.617,,,,,,,
1999-10-01,1999,Oct,10,118160.617,,,,,,,
1999-11-01,1999,Nov,11,118160.617,,,,,,,
1999-12-01,1999,Dec,12,118160.617,,,,,,,
2000-01-01,2000,Jan,1,126439.033,3.5,9799.9,,,,,
2000-02-01,2000,Feb,2,126439.033,3.5,9837.9,,,,,
2000-03-01,2000,Mar,3,126439.033,3.5,9864.0,,,,,
2000-04-01,2000,Apr,4,126439.033,3.6,9913.7,,,,,
2000-05-01,2000,May,5,126439.033,3.6,9954.5,,,,,
2000-06-01,2000,Jun,6,126439.033,3.6,9982.3,,,,,
2000-07-01,2000,Jul,7,126439.033,3.7,10035.9,,,,,
2000-08-01,2000,Aug,8,126439.033,3.7,10098.3,,,,,
2000-09-01,2000,Sep,9,126439.033,3.7,10110.3,,,,,
2000-10-01,2000,Oct,10,126439.033,3.7,10139.2,,,,,
2000-11-01,2000,Nov,11,126439.033,3.8,10143.5,,,,,
2000-12-01,2000,Dec,12,126439.033,3.9,10164.3,,,,,
2001-01-01,2001,Jan,1,131410.167,4.0,10211.7,,,,,
2001-02-01,2001,Feb,2,131410.167,4.1,10223.4,,,,,
2001-03-01,2001,Mar,3,131410.167,4.2,10254.4,,,,,
2001-04-01,2001,Apr,4,131410.167,4.2,10233.1,,,,,
2001-05-01,2001,May,5,131410.167,4.3,10214.7,,,,,
2001-06-01,2001,Jun,6,131410.167,4.3,10218.1,,,,,
2001-07-01,2001,Jul,7,131410.167,4.4,10370.7,,,,,
2001-08-01,2001,Aug,8,131410.167,4.6,10543.1,,,,,
2001-09-01,2001,Sep,9,131410.167,4.8,10452.8,,,,,
2001-10-01,2001,Oct,10,131410.167,5.0,10267.7,,,,,
2001-11-01,2001,Nov,11,131410.167,5.2,10279.7,,,,,
2001-12-01,2001,Dec,12,131410.167,5.3,10298.9,,,,,
2002-01-01,2002,Jan,1,135870.358,5.5,10514.7,,,,,
2002-02-01,2002,Feb,2,135870.358,5.5,10531.6,,,,,
2002-03-01,2002,Mar,3,135870.358,5.6,10539.0,,,,,
2002-04-01,2002,Apr,4,135870.358,5.6,10574.2,,,,,
2002-05-01,2002,May,5,135870.358,5.6,10616.5,,,,,
2002-06-01,2002,Jun,6,135870.358,5.5,10648.2,,,,,
2002-07-01,2002,Jul,7,135870.358,5.5,10621.0,,,,,
2002-08-01,2002,Aug,8,135870.358,5.4,10623.0,,,,,
2002-09-01,2002,Sep,9,135870.358,5.4,10633.6,,,,,
2002-10-01,2002,Oct,10,135870.358,5.4,10661.8,,,,,
2002-11-01,2002,Nov,11,135870.358,5.5,10690.9,,,,,
2002-12-01,2002,Dec,12,135870.358,5.6,10719.9,,,,,
2003-01-01,2003,Jan,1,142173.117,5.6,10710.4,,,,,
2003-02-01,2003,Feb,2,142173.117,5.7,10674.0,,,,,
2003-03-01,2003,Mar,3,142173.117,5.8,10696.5,,,,,
2003-04-01,2003,Apr,4,142173.117,5.9,10752.7,,,,,
2003-05-01,2003,May,5,142173.117,6.0,10832.0,,,,,
2003-06-01,2003,Jun,6,142173.117,6.0,10860.6,,,,,
2003-07-01,2003,Jul,7,142173.117,6.1,10991.1,,,,,
2003-08-01,2003,Aug,8,142173.117,6.1,11066.7,,,,,
2003-09-01,2003,Sep,9,142173.117,6.0,10940.8,,,,,
2003-10-01,2003,Oct,10,142173.117,5.9,10982.3,,,,,
2003-11-01,2003,Nov,11,142173.117,5.8,11048.4,,,,,
2003-12-01,2003,Dec,12,142173.117,5.7,11057.2,,,,,
2004-01-01,2004,Jan,1,149701.933,5.7,11051.2,,,,,
2004-02-01,2004,Feb,2,149701.933,5.7,11071.0,,,,,
2004-03-01,2004,Mar,3,149701.933,5.7,11115.6,,,,,
2004-04-01,2004,Apr,4,149701.933,5.7,11153.3,,,,,
2004-05-01,2004,May,5,149701.933,5.7,11208.9,,,,,
2004-06-01,2004,Jun,6,149701.933,5.7,11215.8,,,,,
2004-07-01,2004,Jul,7,149701.933,5.7,11240.5,,,,,
2004-08-01,2004,Aug,8,149701.933,5.7,11274.6,,,,,
