Date,Month_Num,mw_PCE,Unemployment,mw_RealDispIncome,mw_wholesale_PPI,mw_supermarket_PPI,mw_produce_CPI,mw_meat_CPI,mw_diary_CPI,Year_Month,overall compound,state,state compound,YM_dt
2016-01-01,1,216620.417,4.7,14121.1,90.8,193.0,302.6,,,2016 Jan,0.0,Wisconsin,0.0,2016-01-01
2016-02-01,2,216620.417,4.7,14135.3,91.5,191.5,304.649,,,2016 Feb,0.7351,Wisconsin,0.7351,2016-02-01
2016-03-01,3,216620.417,4.7,14135.4,92.2,191.9,299.141,,,2016 Mar,0.2202,Illinois,0.0,2016-03-01
2016-03-01,3,216620.417,4.7,14135.4,92.2,191.9,299.141,,,2016 Mar,0.2202,Indiana,0.4404,2016-03-01
2016-04-01,4,216620.417,4.7,14106.2,91.5,193.6,296.946,,,2016 Apr,0.26733333333333337,Michigan,0.0,2016-04-01
2016-04-01,4,216620.417,4.7,14106.2,91.5,193.6,296.946,,,2016 Apr,0.26733333333333337,Wisconsin,0.401,2016-04-01
2016-05-01,5,216620.417,4.7,14095.5,91.0,195.0,294.891,,,2016 May,0.4019,Indiana,0.4019,2016-05-01
2016-05-01,5,216620.417,4.7,14095.5,91.0,195.0,294.891,,,2016 May,0.4019,Wisconsin,0.4019,2016-05-01
2016-06-01,6,216620.417,4.7,14104.9,89.4,193.9,294.849,,,2016 Jun,0.0,Ohio,0.0,2016-06-01
2016-07-01,7,216620.417,4.7,14160.1,88.9,193.8,294.509,,,2016 Jul,,,,2016-07-01
2016-08-01,8,216620.417,4.7,14176.7,88.1,191.7,294.186,,,2016 Aug,-0.4585,Indiana,-0.4585,2016-08-01
2016-09-01,9,216620.417,4.7,14209.1,88.6,192.5,293.742,,,2016 Sep,,,,2016-09-01
2016-10-01,10,216620.417,4.7,14235.4,89.0,191.7,293.669,,,2016 Oct,,,,2016-10-01
2016-11-01,11,216620.417,4.6,14273.6,91.1,191.9,293.819,,,2016 Nov,,,,2016-11-01
2016-12-01,12,216620.417,4.5,14313.7,90.6,192.4,292.151,,,2016 Dec,-0.25,Indiana,-0.25,2016-12-01
2017-01-01,1,224897.517,4.4,14373.7,91.1,193.2,287.914,,,2017 Jan,0.0,Wisconsin,0.0,2017-01-01
2017-02-01,2,224897.517,4.3,14416.8,91.3,193.8,290.673,,,2017 Feb,-0.021866666666666663,Illinois,-0.5423,2017-02-01
2017-02-01,2,224897.517,4.3,14416.8,91.3,193.8,290.673,,,2017 Feb,-0.021866666666666663,Ohio,0.0,2017-02-01
2017-02-01,2,224897.517,4.3,14416.8,91.3,193.8,290.673,,,2017 Feb,-0.021866666666666663,Wisconsin,0.4767,2017-02-01
2017-03-01,3,224897.517,4.2,14476.3,91.7,195.4,294.153,,,2017 Mar,,,,2017-03-01
2017-04-01,4,224897.517,4.1,14509.3,90.8,195.9,298.253,,,2017 Apr,0.0,Illinois,0.0,2017-04-01
2017-05-01,5,224897.517,4.1,14610.7,91.4,193.9,297.511,,,2017 May,0.0,Ohio,0.0,2017-05-01
2017-06-01,6,224897.517,4.1,14618.7,90.8,194.2,296.963,,,2017 Jun,-0.6486,Illinois,-0.6486,2017-06-01
2017-07-01,7,224897.517,4.1,14660.2,92.4,193.1,296.969,,,2017 Jul,0.6369,Illinois,0.6369,2017-07-01
2017-07-01,7,224897.517,4.1,14660.2,92.4,193.1,296.969,,,2017 Jul,0.6369,Michigan,0.6369,2017-07-01
2017-08-01,8,224897.517,4.1,14678.3,89.4,193.1,296.781,,,2017 Aug,,,,2017-08-01
